epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94892,0.98432,2.02044,1.43564,0.00393,0.97059,0.57799,0.39621,1.02823,2.79276,1.61481,0.00038,0.00038,0.00038
2,10.5884,0.69306,1.18992,1.18531,0.05227,0.26471,0.05163,0.01309,2.37249,3.67736,3.00441,0.000764556,0.000764556,0.000764556
3,15.0268,0.60981,1.11516,1.14291,0.37119,0.61765,0.47531,0.23835,1.57187,2.5093,2.74402,0.00113327,0.00113327,0.00113327
4,19.4019,0.58882,1.03431,1.12768,0.28788,0.41176,0.33108,0.11429,2.16752,2.87661,3.30908,0.00148615,0.00148615,0.00148615
5,23.6651,0.60379,0.9212,1.12152,0.36472,0.38235,0.25106,0.06269,2.35469,2.63131,3.43216,0.00182318,0.00182318,0.00182318
6,27.9458,0.55811,0.87782,1.08594,0.24506,0.11765,0.05683,0.0173,2.50323,3.11976,3.66542,0.001802,0.001802,0.001802
7,32.2137,0.54267,0.84323,1.08894,0.33216,0.71689,0.30798,0.10586,2.2044,2.42373,3.43225,0.0017624,0.0017624,0.0017624
8,36.5152,0.54557,0.83874,1.10123,0.31906,0.38235,0.29231,0.114,2.31458,2.67533,3.63969,0.0017228,0.0017228,0.0017228
9,40.8368,0.51668,0.74378,1.05992,0.38678,0.44531,0.31593,0.11094,2.31395,2.75081,3.61178,0.0016832,0.0016832,0.0016832
10,45.2097,0.49758,0.69877,1.06203,0.37638,0.52941,0.40571,0.12768,2.40723,2.41452,3.54468,0.0016436,0.0016436,0.0016436
11,49.4839,0.47019,0.67203,1.04832,0.27952,0.38235,0.20271,0.06708,2.60514,2.20215,3.28174,0.001604,0.001604,0.001604
12,53.7887,0.4711,0.66013,1.05333,0.32092,0.38235,0.27369,0.10895,2.31109,2.28859,3.00521,0.0015644,0.0015644,0.0015644
13,58.072,0.45622,0.64067,1.0462,0.31945,0.38235,0.30838,0.11828,2.60045,1.95336,3.22033,0.0015248,0.0015248,0.0015248
